Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
ENELCHILE,ENEL CHILE SA,EQUITY,Utilities,Equity,"9,631,677.28",0.54,"9,631,677.28","171,276,963.00",0.06,Chile,Santiago Stock Exchange,USD,968.80,--
MEL,MERIDIAN ENERGY LTD,EQUITY,Utilities,Equity,"9,551,191.18",0.53,"9,551,191.18","2,716,081.00",3.52,New Zealand,New Zealand Exchange Ltd,USD,1.67,--
CPFE3,CPFL ENERGIA SA,EQUITY,Utilities,Equity,"9,477,958.83",0.53,"9,477,958.83","1,693,530.00",5.60,Brazil,XBSP,USD,5.78,--
ENLT,ENLIGHT RENEWABLE ENERGY LTD,EQUITY,Utilities,Equity,"9,377,494.19",0.52,"9,377,494.19","619,868.00",15.13,Israel,Tel Aviv Stock Exchange,USD,3.75,--
ECV,ENCAVIS AG,EQUITY,Utilities,Equity,"9,342,490.94",0.52,"9,342,490.94","509,168.00",18.35,Germany,Xetra,USD,0.93,--
688223,JINKO SOLAR LTD A,EQUITY,Information Technology,Equity,"9,113,950.44",0.51,"9,113,950.44","7,335,048.00",1.24,China,Shanghai Stock Exchange,USD,7.17,--
600025,HUANENG LANCANG RIVER HYDROPOWER I,EQUITY,Utilities,Equity,"8,997,154.29",0.50,"8,997,154.29","6,612,357.00",1.36,China,Shanghai Stock Exchange,USD,7.17,--
SHLS,SHOALS TECHNOLOGIES GROUP INC CLAS,EQUITY,Industrials,Equity,"8,914,823.15",0.50,"8,914,823.15","1,561,265.00",5.71,United States,NASDAQ,USD,1.00,--
SJVN,SJVN LTD,EQUITY,Utilities,Equity,"8,667,797.76",0.49,"8,667,797.76","6,561,603.00",1.32,India,National Stock Exchange Of India,USD,84.38,--
600674,SICHUAN CHUANTOU ENERGY LTD A,EQUITY,Utilities,Equity,"8,645,829.00",0.48,"8,645,829.00","3,618,800.00",2.39,China,Shanghai Stock Exchange,USD,7.17,--
INE,INNERGEX RENEWABLE ENERGY INC,EQUITY,Utilities,Equity,"8,211,322.96",0.46,"8,211,322.96","1,259,568.00",6.52,Canada,Toronto Stock Exchange,USD,1.39,--
ARRY,ARRAY TECHNOLOGIES INC,EQUITY,Industrials,Equity,"7,996,947.92",0.45,"7,996,947.92","1,323,998.00",6.04,United States,NASDAQ,USD,1.00,--
ENELAM,ENEL AMERICAS SA,EQUITY,Utilities,Equity,"7,859,846.40",0.44,"7,859,846.40","85,070,039.00",0.09,Chile,Santiago Stock Exchange,USD,968.80,--
SLR,SOLARIA ENERGIA Y MEDIO AMBIENTE S,EQUITY,Utilities,Equity,"7,855,295.57",0.44,"7,855,295.57","753,395.00",10.43,Spain,Bolsa De Madrid,USD,0.93,--
112610,CS WIND CORP,EQUITY,Industrials,Equity,"7,518,604.32",0.42,"7,518,604.32","223,001.00",33.72,Korea (South),Korea Exchange (Stock Market),USD,"1,386.60",--
CEN,CONTACT ENERGY LTD,EQUITY,Utilities,Equity,"7,458,907.98",0.42,"7,458,907.98","1,458,719.00",5.11,New Zealand,New Zealand Exchange Ltd,USD,1.67,--
SEDG,SOLAREDGE TECHNOLOGIES INC,EQUITY,Information Technology,Equity,"7,191,763.26",0.40,"7,191,763.26","531,542.00",13.53,United States,NASDAQ,USD,1.00,--
REX,REX AMERICAN RESOURCES CORP,EQUITY,Energy,Equity,"6,928,661.50",0.39,"6,928,661.50","142,859.00",48.50,United States,New York Stock Exchange Inc.,USD,1.00,--
ANE,CORPORACION ACCIONA ENERGIAS RENOV,EQUITY,Utilities,Equity,"6,618,122.84",0.37,"6,618,122.84","331,376.00",19.97,Spain,Bolsa De Madrid,USD,0.93,--
2208,XINJIANG GOLDWIND SCIENCE AND TECH,EQUITY,Industrials,Equity,"6,220,724.91",0.35,"6,220,724.91","7,175,800.00",0.87,China,Hong Kong Exchanges And Clearing Ltd,USD,7.77,--
002459,JA SOLAR TECHNOLOGY LTD A,EQUITY,Information Technology,Equity,"6,197,575.25",0.35,"6,197,575.25","2,456,852.00",2.52,China,Shenzhen Stock Exchange,USD,7.17,--
NEOE3,NEOENERGIA SA,EQUITY,Utilities,Equity,"6,064,390.47",0.34,"6,064,390.47","1,801,532.00",3.37,Brazil,XBSP,USD,5.78,--
1798,CHINA DATANG CORPORATION RENEWABLE,EQUITY,Utilities,Equity,"5,911,826.67",0.33,"5,911,826.67","21,579,000.00",0.27,China,Hong Kong Exchanges And Clearing Ltd,USD,7.77,--
688599,TRINA SOLAR LTD A,EQUITY,Information Technology,Equity,"5,840,825.78",0.33,"5,840,825.78","1,612,626.00",3.62,China,Shanghai Stock Exchange,USD,7.17,--
CSIQ,CANADIAN SOLAR INC,EQUITY,Information Technology,Equity,"5,273,385.70",0.30,"5,273,385.70","435,817.00",12.10,China,NASDAQ,USD,1.00,--
NEL,NEL,EQUITY,Industrials,Equity,"5,243,284.15",0.29,"5,243,284.15","15,473,880.00",0.34,Norway,Oslo Bors Asa,USD,11.00,--
002129,TCL ZHONGHUAN RENEWABLE ENERGY TEC,EQUITY,Information Technology,Equity,"4,823,828.32",0.27,"4,823,828.32","2,999,800.00",1.61,China,Shenzhen Stock Exchange,USD,7.17,--
336260,DOOSAN FUEL CELL LTD,EQUITY,Industrials,Equity,"4,733,611.54",0.26,"4,733,611.54","389,764.00",12.14,Korea (South),Korea Exchange (Stock Market),USD,"1,386.60",--
AURE3,AUREN ENERGIA SA,EQUITY,Utilities,Equity,"4,730,030.27",0.26,"4,730,030.27","2,690,071.00",1.76,Brazil,XBSP,USD,5.78,--
PTC,PTC INDIA LTD,EQUITY,Utilities,Equity,"4,639,619.90",0.26,"4,639,619.90","2,168,349.00",2.14,India,National Stock Exchange Of India,USD,84.38,--
300751,SUZHOU MAXWELL TECHNOLOGIES LTD A,EQUITY,Information Technology,Equity,"3,532,584.90",0.20,"3,532,584.90","212,500.00",16.62,China,Shenzhen Stock Exchange,USD,7.17,--
RNW,RENEW ENERGY GLOBAL PLC CLASS A,EQUITY,Utilities,Equity,"3,413,341.00",0.19,"3,413,341.00","634,450.00",5.38,United Kingdom,NASDAQ,USD,1.00,--
601615,MING YANG SMART ENERGY GROUP LTD A,EQUITY,Industrials,Equity,"3,136,453.53",0.18,"3,136,453.53","1,684,100.00",1.86,China,Shanghai Stock Exchange,USD,7.17,--
6443,TSEC CORP,EQUITY,Information Technology,Equity,"3,079,399.76",0.17,"3,079,399.76","4,777,235.00",0.64,Taiwan,Taiwan Stock Exchange,USD,32.11,--
300763,GINLONG TECHNOLOGIES LTD A,EQUITY,Industrials,Equity,"2,903,705.05",0.16,"2,903,705.05","296,850.00",9.78,China,Shenzhen Stock Exchange,USD,7.17,--
600732,SHANGHAI AIKO SOLAR ENERGY LTD A,EQUITY,Information Technology,Equity,"2,665,683.07",0.15,"2,665,683.07","1,359,300.00",1.96,China,Shanghai Stock Exchange,USD,7.17,--
S92,SMA SOLAR TECHNOLOGY AG,EQUITY,Information Technology,Equity,"2,552,792.89",0.14,"2,552,792.89","167,957.00",15.20,Germany,Xetra,USD,0.93,--
INR,INR CASH,CASH,Cash and/or Derivatives,Cash,"2,399,431.31",0.13,"2,399,431.31","202,455,016.00",1.19,India,--,USD,84.38,--
9519,RENOVA INC,EQUITY,Utilities,Equity,"2,326,996.23",0.13,"2,326,996.23","404,900.00",5.75,Japan,Tokyo Stock Exchange,USD,152.43,--
601016,CECEP WIND-POWER CORP A,EQUITY,Utilities,Equity,"2,265,097.92",0.13,"2,265,097.92","4,807,520.00",0.47,China,Shanghai Stock Exchange,USD,7.17,--
ZOREN.E,ZORLU ENERJI ELEKTRIK URETIMI A,EQUITY,Utilities,Equity,"2,210,725.05",0.12,"2,210,725.05","17,923,688.00",0.12,Turkey,Istanbul Stock Exchange,USD,34.38,--
000591,CECEP SOLAR ENERGY LTD A,EQUITY,Utilities,Equity,"2,144,428.04",0.12,"2,144,428.04","2,905,700.00",0.74,China,Shenzhen Stock Exchange,USD,7.17,--
002506,GCL SYSTEM INTEGRATION TECHNOLOGY,EQUITY,Information Technology,Equity,"1,877,268.54",0.11,"1,877,268.54","4,343,100.00",0.43,China,Shenzhen Stock Exchange,USD,7.17,--
688032,HOYMILES POWER ELECTRONICS INC A,EQUITY,Industrials,Equity,"1,863,716.55",0.10,"1,863,716.55","95,940.00",19.43,China,Shanghai Stock Exchange,USD,7.17,--
688349,SANY HEAVY ENERGY LTD A,EQUITY,Industrials,Equity,"1,850,674.81",0.10,"1,850,674.81","448,491.00",4.13,China,Shanghai Stock Exchange,USD,7.17,--
002531,TITAN WIND ENERGY (SUZHOU) LTD A,EQUITY,Industrials,Equity,"1,759,354.56",0.10,"1,759,354.56","1,335,300.00",1.32,China,Shenzhen Stock Exchange,USD,7.17,--
688516,WUXI AUTOWELL TECHNOLOGY LTD A,EQUITY,Information Technology,Equity,"1,719,983.56",0.10,"1,719,983.56","235,946.00",7.29,China,Shanghai Stock Exchange,USD,7.17,--
SMRTG.E,SMART GUNES ENERJISI TEKNOLOJILERI,EQUITY,Information Technology,Equity,"1,696,096.15",0.09,"1,696,096.15","1,477,583.00",1.15,Turkey,Istanbul Stock Exchange,USD,34.38,--
